Symbol,Date,Open,High,Low,Close,Percent Change,Volume
ADBL,1/10/2022,435,437.5,427,429,-0.46,70123
ADBL,1/11/2022,429.5,432.9,426.1,428.9,-0.02,41350
ADBL,1/12/2022,435,435,422,424,-1.14,39598
ADBL,1/13/2022,421.5,426.9,421.5,426.9,0.68,37250
ADBL,1/16/2022,426.9,437,430.1,435,1.9,63396
ADBL,1/17/2022,441,442,435,441,1.38,50102
ADBL,1/18/2022,441,448,436.9,440,-0.23,95284
ADBL,1/19/2022,440,442,426.3,433,-1.59,60921
ADBL,1/20/2022,430,435,427.5,433,0,41039
ADBL,1/23/2022,440,441,428,430.2,-0.65,42972
ADBL,1/24/2022,434,434,418,422,-1.91,67946
ADBL,1/25/2022,420,425,415,419.9,-0.5,51430
ADBL,1/26/2022,420,420,415,416.4,-0.83,27790
ADBL,1/27/2022,415,423,415,417,0.14,21775
ADBL,1/30/2022,425,432,420.1,424.7,1.85,39524
ADBL,1/31/2022,426,426,421.2,422,-0.64,20348
ADBL,2/1/2022,420,424,418,423,0.24,33761
ADBL,2/3/2022,425,425,420,420.6,-0.57,47402
ADBL,2/6/2022,418,422,417,418,-0.62,33404
ADBL,2/7/2022,416.5,423,416.1,417,-0.24,26388
ADBL,2/8/2022,423,425,416,417,0,33948
ADBL,2/9/2022,417,418,413,415.5,-0.36,16231
ADBL,2/10/2022,422,422,413,414.5,-0.24,20035
ADBL,2/13/2022,406.3,414,405,405.5,-2.17,42697
ADBL,2/14/2022,405,410,403,404,-0.37,24705
ADBL,2/15/2022,405,410,403.2,407,0.74,36803
ADBL,2/16/2022,415,415,406,406.9,-0.02,17607
ADBL,2/17/2022,415,415,403.5,405,-0.47,18795
ADBL,2/20/2022,400,402,395,399,-1.48,35466
ADBL,2/21/2022,400,405,398,402,0.75,27798
ADBL,2/22/2022,402,408,402,404.8,0.7,15662
ADBL,2/23/2022,405.9,406,399.9,400,-1.19,35048
ADBL,2/24/2022,401,401,392,397,-0.75,33591
ADBL,2/27/2022,397,397.3,391.1,395,-0.5,29411
ADBL,2/28/2022,395,401.9,388,390,-1.27,66116
ADBL,3/2/2022,388,390,378,380,-2.56,63480
ADBL,3/6/2022,378.5,384.5,378.5,380.9,0.24,31906
ADBL,3/7/2022,382,387,382,385,1.08,21937
ADBL,3/9/2022,389,390,381.1,383.9,-0.29,20104
ADBL,3/10/2022,383,386.9,380,386.5,0.68,28256
ADBL,3/13/2022,390,403,386.5,403,4.27,56207
ADBL,3/14/2022,409,411,395,402,-0.25,43377
ADBL,3/15/2022,405,405,395,399,-0.75,36194
ADBL,3/16/2022,399,400,396,396.2,-0.7,20680
ADBL,3/20/2022,400,402,392,396.6,0.1,22115
ADBL,3/21/2022,402,402,391,395.6,-0.25,18867
ADBL,3/22/2022,395.6,399.4,395,398,0.61,20056
ADBL,3/23/2022,405.9,405.9,392,395,-0.75,14248
ADBL,3/24/2022,394.5,395,392,393,-0.51,24489
ADBL,3/27/2022,393,394,388,388.1,-1.25,20877
ADBL,3/28/2022,385.6,390,384,386,-0.54,22843
ADBL,3/29/2022,381,389.6,379,383.9,-0.54,18020
ADBL,3/30/2022,383,388,381,385,0.29,19953
ADBL,3/31/2022,387,388,383,384.1,-0.23,16460
ADBL,4/3/2022,384.1,385,378.6,380.5,-0.94,21505
ADBL,4/4/2022,375,382,375,379,-0.39,44329
ADBL,4/5/2022,385,385,371.5,376.8,-0.58,28851
ADBL,4/6/2022,374,378,365,366.9,-2.63,40684
ADBL,4/7/2022,364.7,375,364.7,373,1.66,22876
ADBL,4/11/2022,373,382,366.1,367,-1.61,27160
ADBL,4/12/2022,363.6,373.3,363.6,363.8,-0.87,12556
ADBL,4/13/2022,364,369,364,367,0.88,29290
ADBL,4/17/2022,370,376,368,371,1.09,20608
ADBL,4/18/2022,370,374,367,369.9,-0.3,15159
ADBL,4/19/2022,369,372,358.7,371,0.3,19684
ADBL,4/20/2022,373,378,367,370,-0.27,16063
ADBL,4/21/2022,370,370,363,370,0,14989
ADBL,4/24/2022,371,377,367,376.6,1.78,22222
ADBL,4/25/2022,380,384,375,378,0.37,15248
ADBL,4/26/2022,374,377,371.5,373,-1.32,11521
ADBL,4/27/2022,370,371,368,371,-0.54,12344
ADBL,4/28/2022,378,378,367.1,369,-0.54,26491
ADBL,5/2/2022,367,367,363.6,364,-1.36,15384
ADBL,5/4/2022,364,366,360,361,-0.82,12602
ADBL,5/5/2022,361,365,356,356.3,-1.3,14718
ADBL,5/8/2022,356.3,356.3,352,354.5,-0.51,20085
ADBL,5/9/2022,360,367,355,365,2.96,16600
ADBL,5/10/2022,372,377.7,365,377.7,3.48,13260
ADBL,5/11/2022,378,384,371,384,1.67,17055
ADBL,5/12/2022,384,389,379,379.9,-1.07,13959
ADBL,5/17/2022,383,383,365,366,-3.66,10299
ADBL,5/18/2022,369,369,362,366,0,8992
ADBL,5/19/2022,366,373,364.6,365.8,-0.05,7073
ADBL,5/20/2022,366,366,360,364,-0.49,5095
ADBL,5/23/2022,371,371,358.6,360,-1.1,15982
ADBL,5/24/2022,354,366,353,362,0.56,10269
ADBL,5/25/2022,362,365,360,363,0.28,17122
ADBL,5/26/2022,363,367,361,367,1.1,12109
ADBL,5/27/2022,367,367,363,364.9,-0.57,10347
ADBL,5/30/2022,367,367,356.2,357,-2.16,12409
ADBL,5/31/2022,355,355,348.1,352,-1.4,14454
ADBL,6/1/2022,354,356,350,352,0,10455
ADBL,6/2/2022,352,353,348.1,350,-0.57,16073
ADBL,6/3/2022,343.1,352,343.1,343.5,-1.86,18065
ADBL,6/6/2022,345,345.5,338,343,-0.15,20851
ADBL,6/7/2022,340,345,322.6,328.9,-4.11,49886
ADBL,6/8/2022,331,337,329.2,334,1.55,27291
ADBL,6/9/2022,335,340.6,333.2,335,0.3,15288
ADBL,6/10/2022,339.9,339.9,326,335.6,0.18,8784
ADBL,6/13/2022,335.6,340,332,332,-1.07,9837
ADBL,6/14/2022,330,335,328.4,328.5,-1.05,11543
ADBL,6/15/2022,329,329,323,327,-0.46,11386
ADBL,6/16/2022,325,330,319.2,321,-1.83,28991
ADBL,6/17/2022,327,327,319.5,319.9,-0.34,7331
ADBL,6/19/2022,325,325,315.1,318,-0.59,13101
ADBL,6/20/2022,314,318,306.1,310.6,-2.33,25115
ADBL,6/21/2022,309,316,308,311,0.13,26282
ADBL,6/22/2022,315,315,304,310,-0.32,37679
ADBL,6/23/2022,309,310,300.2,305,-1.61,43832
ADBL,6/24/2022,305,310,298,309,1.31,12201
ADBL,6/26/2022,314,317,307.8,315.1,1.97,39098
ADBL,6/27/2022,315.9,321,313,314,-0.35,22811
ADBL,6/28/2022,309.79,333.1,308,330,5.1,21480
ADBL,6/29/2022,330,330,314,326.5,-1.06,20955
ADBL,6/30/2022,330,332,325,330.5,1.23,33598
ADBL,7/1/2022,336.9,336.9,325.4,326,-1.36,14504
