Symbol,Date,Open,High,Low,Close,Percent Change,Volume
CZBIL,1/10/2022,316.2,316.2,304.8,305.5,-1.45,122812
CZBIL,1/11/2022,300,310.9,300,305,-0.16,72783
CZBIL,1/12/2022,311.1,311.1,299.9,300.2,-1.57,89506
CZBIL,1/13/2022,302,305,299.1,302.5,0.77,83258
CZBIL,1/16/2022,302.5,313,302.9,308,1.82,136545
CZBIL,1/17/2022,313,317,308,310,0.65,96469
CZBIL,1/18/2022,315,322.4,308.1,317,2.26,160750
CZBIL,1/19/2022,323.3,323.3,310,311,-1.89,84891
CZBIL,1/20/2022,306,313.8,306,311,0,62177
CZBIL,1/23/2022,317.2,317.2,306.2,308,-0.96,69624
CZBIL,1/24/2022,314.1,314.1,295,297,-3.57,167990
CZBIL,1/25/2022,302.9,302.9,286,294.2,-0.94,60973
CZBIL,1/26/2022,290,294,288,290,-1.43,53807
CZBIL,1/27/2022,290.8,292,288,288,-0.69,51813
CZBIL,1/30/2022,293,305,292,297.4,3.26,47952
CZBIL,1/31/2022,300,300,292.2,295,-0.81,51049
CZBIL,2/1/2022,294.7,300,291.5,299,1.36,65227
CZBIL,2/3/2022,298,305,298,299,0,83422
CZBIL,2/6/2022,299,299,291.6,293,-2.01,52818
CZBIL,2/7/2022,292,294,290,293,0,56532
CZBIL,2/8/2022,298.8,300,290,292,0,67467
CZBIL,2/9/2022,290.5,293,288,288,-1.37,52541
CZBIL,2/10/2022,285,291,285,285.4,-0.9,34925
CZBIL,2/13/2022,280,285.3,277,277.2,-2.87,102103
CZBIL,2/14/2022,275,283,274.1,276,-0.43,52721
CZBIL,2/15/2022,276.4,287.8,275,287,3.99,60010
CZBIL,2/16/2022,290,290,282,284,-1.05,34924
CZBIL,2/17/2022,288,288,280,283.9,-0.04,28581
CZBIL,2/20/2022,278.3,278.9,270,276,-2.78,48330
CZBIL,2/21/2022,277,281,274,279,1.09,45058
CZBIL,2/22/2022,284,284.4,279,281,0.72,26651
CZBIL,2/23/2022,286,286.5,277,279,-0.71,19117
CZBIL,2/24/2022,275,278,271,272.1,-2.47,51622
CZBIL,2/27/2022,270.2,275,270,271,-0.4,49476
CZBIL,2/28/2022,274,276,265,267,-1.48,52955
CZBIL,3/2/2022,269,269,263.1,264.5,-0.94,51986
CZBIL,3/6/2022,259.3,266.9,259.3,264,-0.19,40619
CZBIL,3/7/2022,258.8,270,258.8,264,0,43843
CZBIL,3/9/2022,264,265,259.1,262,-0.76,52715
CZBIL,3/10/2022,260,267,257,267,1.91,38364
CZBIL,3/13/2022,267,278,267,278,4.12,53275
CZBIL,3/14/2022,274,278.6,273.1,277,-0.36,7990
CZBIL,3/15/2022,272.2,277,271,277,0,49252
CZBIL,3/16/2022,275,276.9,271.6,273,-1.44,28297
CZBIL,3/20/2022,274,275.8,273,273.1,0.04,39300
CZBIL,3/21/2022,271,274,271,273.9,0.29,27354
CZBIL,3/22/2022,274,278,274,274.6,0.26,20686
CZBIL,3/23/2022,271,276,271,272.6,-0.73,12929
CZBIL,3/24/2022,270,273,269,269,-1.32,28722
CZBIL,3/27/2022,270,270.1,264,269,0,50005
CZBIL,3/28/2022,265.1,269,265.1,269,0,36866
CZBIL,3/29/2022,269,269.8,265.1,268.9,-0.04,27506
CZBIL,3/30/2022,268.9,269.7,264,264.1,-1.79,31295
CZBIL,3/31/2022,265,269,264.1,264.1,0,31949
CZBIL,4/3/2022,262,264,260.1,262.8,-0.49,12671
CZBIL,4/4/2022,257.6,264.9,257.6,264.5,0.65,39208
CZBIL,4/5/2022,269.7,269.7,257.2,258.5,-2.27,30700
CZBIL,4/6/2022,257,260,255,259,0.19,24893
CZBIL,4/7/2022,263,263,256.1,262.5,1.35,41647
CZBIL,4/11/2022,265,267.7,257.1,258,-1.71,17472
