Symbol,Date,Open,High,Low,Close,Percent Change,Volume
EBL,1/10/2022,629,629,605,610,-1.45,32762
EBL,1/11/2022,610,620,605,613,0.49,26056
EBL,1/12/2022,611,616,599.1,600,-2.12,42536
EBL,1/13/2022,600,604,595.7,604,0.67,31878
EBL,1/16/2022,604,621,602.3,610,0.99,67142
EBL,1/17/2022,621,635,615,626,2.62,59378
EBL,1/18/2022,630,640,623,630,0.64,75571
EBL,1/19/2022,630,632,614,615,-2.38,26605
EBL,1/20/2022,615,615,605,615,0,45429
EBL,1/23/2022,610,612,597,601,-2.28,48168
EBL,1/24/2022,596,597,579,582,-3.16,46044
EBL,1/25/2022,582,593.6,578.2,583,0.17,18845
EBL,1/26/2022,585,588,576,578,-0.86,13258
EBL,1/27/2022,578,588,576,576,-0.35,12623
EBL,1/30/2022,587,604,581.3,594.9,3.28,19498
EBL,1/31/2022,595,595,580,583,-2,23495
EBL,2/1/2022,576,585,576,585,0.34,28069
EBL,2/3/2022,590,595,585,585,0,29116
EBL,2/6/2022,583,585,578,580,-0.85,9840
EBL,2/7/2022,578,585,576.1,577.5,-0.43,8586
EBL,2/8/2022,589,600.7,571.3,579.8,0,20323
EBL,2/9/2022,573,578,571,572,-1.35,11995
EBL,2/10/2022,572,572,565,568,-0.7,17118
EBL,2/13/2022,561,561,550,557,-1.94,24188
EBL,2/14/2022,557,568.1,550,550.5,-1.17,26716
EBL,2/15/2022,550.1,556,547,552,0.27,20932
EBL,2/16/2022,552.1,573,550,554,0.36,12086
EBL,2/17/2022,552.2,564.5,550,555.9,0.34,13723
EBL,2/20/2022,544.8,562,540,562,1.1,14121
EBL,2/21/2022,567,578,551.5,578,2.85,23725
EBL,2/22/2022,578,601,565,601,3.98,22719
EBL,2/23/2022,589,594.9,576.3,582,-3.16,30550
EBL,2/24/2022,577,577,562,565,-2.92,14046
EBL,2/27/2022,560,568,555,559,-1.06,20000
EBL,2/28/2022,559,570,553,553,-1.07,11179
EBL,3/2/2022,548,549,536,539,-2.53,34679
EBL,3/6/2022,540,549,536.2,537,-0.37,10190
EBL,3/7/2022,547,547,537,540,0.56,19027
EBL,3/9/2022,537,540,531,536,-0.74,11289
EBL,3/10/2022,540,540,529,540,0.75,30144
EBL,3/13/2022,550,558.9,539,555,2.78,14235
EBL,3/14/2022,555,561,550.1,555,0,2387
EBL,3/15/2022,557,557,540.2,547,-1.44,19461
EBL,3/16/2022,540.1,556,540.1,544,-0.55,11603
EBL,3/20/2022,546,546,537,538,-1.1,11584
EBL,3/21/2022,540,544.9,533.1,544,1.12,15163
