Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBL,6/6/2022,390.8,390.8,358.9,358.9,-9.99,1710
HBL,6/7/2022,351.8,351.8,323.1,323.1,-9.97,3809
HBL,6/8/2022,316.7,324,290.8,320,-0.96,68657
HBL,6/9/2022,320,330,313.6,316,-1.25,24390
HBL,6/10/2022,311.1,318,311,316.5,0.16,10122
HBL,6/13/2022,315.1,315.1,303,304,-3.95,15214
HBL,6/14/2022,310,310,297,303,-0.33,21356
HBL,6/15/2022,298,302.6,294,302.6,-0.13,11490
HBL,6/16/2022,300,303,295,300,-0.86,12957
HBL,6/17/2022,300,304,298,300,0,5355
HBL,6/19/2022,300,304.8,295.1,300,0,9304
HBL,6/20/2022,300,300,294,296.1,-1.3,9292
HBL,6/21/2022,296,305,296,303,2.33,7650
HBL,6/22/2022,303,303,293,299.5,-1.16,14215
HBL,6/23/2022,296,300,295,296.2,-1.1,10130
HBL,6/24/2022,296,299,292,298,0.61,4569
HBL,6/26/2022,303,308.5,300,308.5,3.52,9104
HBL,6/27/2022,310,316,303,303,-1.78,9751
HBL,6/28/2022,300.3,306,300.1,300.1,-0.96,5029
HBL,6/29/2022,302,304,300,302,0.63,4693
HBL,6/30/2022,303,309,303,306,1.32,17335
HBL,7/1/2022,310.9,312,305.5,310,1.31,4920
HBL,7/3/2022,316,316,311,313.5,1.13,5537
HBL,7/4/2022,315,318,313,314,0.16,10747
HBL,7/5/2022,310,315,302,308,-1.91,10821
HBL,7/6/2022,305,305,296.1,302,-1.95,19138
HBL,7/7/2022,300,301.5,296.5,301.5,-0.17,9089
HBL,7/8/2022,301,304.9,298.1,301.9,0.13,3800
HBL,7/11/2022,302,302,292.5,293,-2.95,16701
HBL,7/12/2022,290,302.8,290,299.9,2.35,5629
HBL,7/13/2022,300,302,294.5,296,-1.3,12714
HBL,7/14/2022,300,304.5,298,300,1.35,5047
HBL,7/15/2022,301,301,297,299.2,-0.27,2225
HBL,7/17/2022,301,305,298,305,1.94,9368
HBL,7/18/2022,310,311,301.2,308,0.98,8542
HBL,7/19/2022,308,310,305,308,0,8560
HBL,7/20/2022,306,306,304,305.5,-0.81,8028
HBL,7/21/2022,305,310,302,305,-0.16,4773
HBL,7/22/2022,300.1,306,300,304.1,-0.3,1605
HBL,7/24/2022,309,312,300.3,306,0.62,5935
HBL,7/25/2022,308,310,304,306,0,9217
HBL,7/26/2022,305.1,308.5,304,305.7,-0.1,6396
HBL,7/27/2022,308,308,303,306,0.1,4904
HBL,7/28/2022,300,307,300,305,-0.33,8228
HBL,7/29/2022,305,309.2,305,306,0.33,2845
HBL,7/31/2022,306,312,305.1,312,1.96,10935
HBL,8/1/2022,318.1,328.7,313,327,4.81,15090
HBL,8/2/2022,330,335,329,332,1.53,10969
HBL,8/3/2022,338,365.1,338,353,6.33,25525
HBL,8/4/2022,358,358,344.5,347,-1.7,16404
HBL,8/5/2022,342,344,335,340,-2.02,7872
HBL,8/7/2022,346.8,347,339,342,0.59,5293
HBL,8/8/2022,348,348,336.1,336.1,-1.73,6107
HBL,8/9/2022,337,337,326,326,-3.01,10571
HBL,8/10/2022,323,333.5,322.1,330,1.23,5530
HBL,8/11/2022,325,331,320,323,-2.12,13132
HBL,8/14/2022,323,323,313.6,313.6,-2.91,13686
HBL,8/15/2022,313,318,308,315.5,0.61,13038
HBL,8/16/2022,316,325,315,321.5,1.9,11487
HBL,8/17/2022,326,326,319.5,321,-0.16,8356
HBL,8/18/2022,327,327,322.3,323.1,0.65,5060
HBL,8/21/2022,329,330,324.2,327,1.21,15429
HBL,8/22/2022,321,327,321,322.8,-1.28,6849
HBL,8/23/2022,328,335,325.3,333,3.16,12123
HBL,8/24/2022,339.6,356,331,345,3.6,19050
HBL,8/25/2022,349,352,345,345.1,0.03,19617
HBL,8/26/2022,342,342,331.1,334.1,-3.19,13410
HBL,8/28/2022,338.9,338.9,327.5,328.1,-1.8,10827
HBL,8/29/2022,325,331.5,325,331.4,1.01,9969
HBL,8/30/2022,331.9,332,327,329,-0.72,4660
HBL,8/31/2022,326,327.9,325,325,-1.22,2746
HBL,9/1/2022,322,328,321,322,-0.92,10589
HBL,9/2/2022,320.1,324.9,320.1,324,0.62,1725
HBL,9/4/2022,320,328,320,325.1,0.34,3215
HBL,9/5/2022,331,341,329,329,1.2,5422
HBL,9/6/2022,326,330,324,329.8,0.24,8237
HBL,9/7/2022,330,333,325.5,327.1,-0.82,10355
HBL,9/8/2022,324,330,323,327,-0.03,2383
HBL,9/11/2022,330,330.9,324,325,-0.61,8532
HBL,9/12/2022,331.4,331.4,320.5,320.5,-1.38,8773
HBL,9/13/2022,326.5,326.9,321,322,0.47,4694
HBL,9/14/2022,327,330,326,329,2.17,4932
HBL,9/15/2022,335,335,324,325,-1.22,5274
HBL,9/16/2022,319,329.9,315,322,-0.92,2885
HBL,9/18/2022,318.2,321.9,315.8,320.2,-0.56,4311
HBL,9/20/2022,319,323.7,313.1,314,-1.94,8991
HBL,9/21/2022,315,318,314.1,315,0.32,4518
HBL,9/22/2022,319,321,312.1,313,-0.63,4888
HBL,9/25/2022,310.5,314,310,311,-0.64,6378
HBL,9/27/2022,315,320,310,313.2,0.71,3822
HBL,9/28/2022,314,325,314,321,2.49,2117
HBL,9/29/2022,322,325,317,320,-0.31,2885
HBL,10/9/2022,322,336,322,336,5,4435
HBL,10/10/2022,334,335,326,326,-2.98,5144
HBL,10/11/2022,330,330,315,318,-2.45,3465
HBL,10/12/2022,316,325.3,316,324.4,2.01,3492
HBL,10/13/2022,324,326,316.1,317.1,-0.71,7221
HBL,10/16/2022,323,323,316.1,323,1.86,5333
HBL,10/17/2022,325,328.8,322.2,326.8,1.18,4734
HBL,10/19/2022,326.1,330,324,328,0.37,2776
HBL,10/20/2022,321.8,329.2,321.8,327,-0.3,3378
HBL,10/23/2022,332,333.3,323,333.3,1.93,5461
HBL,10/31/2022,330,330.1,323.4,328,-1.59,10852
HBL,11/1/2022,328,340,328,340,3.66,10758
HBL,11/2/2022,335.2,344.7,334.1,336.2,-1.12,9808
HBL,11/3/2022,330.3,340,330.2,338,0.54,12746
HBL,11/6/2022,332,342.9,331.5,340.5,0.74,13631
HBL,11/7/2022,340.5,346,340.1,340.9,0.12,5153
HBL,11/8/2022,347.7,347.7,334.2,343,0.62,2734
HBL,11/9/2022,342,343,335,335,-2.33,4379
HBL,11/10/2022,335,340,328.5,329,-1.79,9056
HBL,11/13/2022,328,332.9,328,330,0.3,4758
HBL,11/14/2022,328,330,326,328,-0.61,2255
HBL,11/15/2022,334.4,334.4,328,330,0.61,3276
HBL,11/16/2022,330,333.6,327,333,0.91,2906
HBL,11/17/2022,334.9,335,330,332.5,-0.15,6092
HBL,11/22/2022,332,339,332,333,0.15,1262
HBL,11/23/2022,328,333,325,326,-2.1,3425
HBL,11/24/2022,326,331,321,330.7,1.44,1889
HBL,11/27/2022,326,332.3,324,332,0.39,7723
HBL,11/28/2022,332,337,327.5,332.2,0.06,10357
HBL,11/29/2022,331,334.5,328,330,-0.66,7313
HBL,11/30/2022,330,330,327.2,328,-0.61,2319
HBL,12/1/2022,328,330,325,325.5,-0.76,8338
HBL,12/4/2022,325,328,325,326,0.15,2591
HBL,12/5/2022,326,332,320,325,-0.31,4592
HBL,12/6/2022,321,338.5,319,338.5,4.15,5479
HBL,12/7/2022,331.9,331.9,319,329.7,-2.6,2853
HBL,12/11/2022,329.8,329.8,320.5,323.9,-1.76,5376
HBL,12/12/2022,323,324,317.6,323.7,-0.06,4618
HBL,12/13/2022,323,325,321,322,-0.53,3670
HBL,12/14/2022,325,328,320.7,320.7,-0.4,3549
HBL,12/15/2022,318,326,318,323,0.72,7648
HBL,12/18/2022,321,325,318,319,-1.24,4033
HBL,12/19/2022,322,325,318,318,-0.31,3927
HBL,12/20/2022,324.3,330,320,322,1.26,50468
HBL,12/21/2022,326,334.6,325,328.8,2.11,8514
HBL,12/22/2022,326,330,326,329.9,0.33,8924
HBL,12/26/2022,335,340.9,330,340,3.06,30271
