Date,Open,High,Low,Close,Volume
1/1/2012,873,879,851,879,799
1/2/2012,879,913,882,900,1002
1/3/2012,900,916,892,892,2653
1/4/2012,892,875,842,865,490
1/5/2012,865,875,858,858,121
1/8/2012,858,845,814,830,4835
1/9/2012,830,846,830,846,195
1/10/2012,846,862,845,845,658
1/11/2012,845,874,845,874,969
1/12/2012,874,904,860,904,773
1/16/2012,904,886,867,879,235
1/17/2012,879,865,820,861,2244
1/18/2012,861,882,830,882,1617
1/22/2012,882,870,836,836,1273
1/23/2012,836,843,826,835,1255
1/25/2012,835,840,825,840,442
1/26/2012,840,830,826,830,408
1/29/2012,830,830,823,830,496
1/31/2012,830,845,842,842,143
2/1/2012,842,840,832,832,250
2/2/2012,832,850,833,850,382
2/5/2012,850,840,824,829,1035
2/6/2012,829,829,824,824,545
2/7/2012,824,833,820,830,816
2/8/2012,830,841,830,841,187
2/9/2012,841,840,830,840,437
2/12/2012,840,843,828,843,1780
2/13/2012,843,876,832,876,885
2/14/2012,876,870,860,860,447
2/15/2012,860,860,843,843,182
2/16/2012,843,850,833,850,1286
2/21/2012,850,850,836,850,170
2/23/2012,850,850,845,850,79
2/26/2012,850,856,833,844,1025
2/27/2012,844,847,831,847,1055
2/28/2012,847,867,845,867,825
2/29/2012,867,869,860,861,602
3/1/2012,861,887,865,887,497
3/4/2012,887,876,870,874,590
3/5/2012,874,887,866,883,571
3/6/2012,883,885,875,882,301
3/11/2012,882,885,868,885,361
3/12/2012,885,882,880,880,256
3/13/2012,880,880,863,880,501
3/14/2012,880,875,860,860,389
3/15/2012,860,852,836,852,446
3/18/2012,852,869,850,867,168
3/19/2012,867,882,853,882,281
3/20/2012,882,874,847,874,307
3/21/2012,874,878,850,878,900
3/25/2012,878,878,845,878,521
3/26/2012,878,861,861,861,50
3/27/2012,861,873,850,867,342
3/28/2012,867,867,850,867,317
3/29/2012,867,867,850,867,64
4/1/2012,867,852,835,852,981
4/2/2012,852,880,852,880,270
4/3/2012,880,891,867,875,145
4/4/2012,875,902,878,902,106
4/8/2012,902,895,879,895,318
4/9/2012,895,901,884,901,906
4/10/2012,901,892,890,890,249
4/11/2012,890,925,885,910,1173
4/12/2012,910,988,920,988,1316
4/15/2012,988,1075,1007,1075,1840
4/17/2012,1075,1182,994,1000,2664
4/18/2012,1000,1081,951,1081,1741
4/19/2012,1081,1144,1078,1130,3104
4/22/2012,1130,1200,1130,1200,3423
4/24/2012,1200,1320,1224,1320,880
4/25/2012,1320,1452,1346,1450,3631
4/26/2012,1450,1550,1400,1550,6246
4/29/2012,1550,1538,1461,1500,4632
4/30/2012,1500,1470,1380,1400,2746
5/2/2012,1400,1372,1260,1260,956
5/3/2012,1260,1386,1285,1386,522
5/7/2012,1386,1524,1413,1524,1302
5/8/2012,1524,1585,1470,1524,4092
5/9/2012,1524,1554,1415,1459,6781
5/10/2012,1459,1453,1387,1420,3591
5/13/2012,1420,1392,1290,1302,1788
5/14/2012,1302,1276,1200,1219,2577
5/15/2012,1219,1340,1219,1340,2424
5/16/2012,1340,1474,1340,1474,1090
5/17/2012,1474,1563,1421,1450,6367
5/20/2012,1450,1458,1390,1450,1648
5/21/2012,1450,1460,1400,1445,3948
5/22/2012,1445,1438,1380,1438,1664
5/23/2012,1438,1410,1325,1325,617
5/24/2012,1325,1400,1300,1369,3006
5/27/2012,1369,1448,1372,1420,4735
5/29/2012,1420,1392,1338,1338,30
5/30/2012,1338,1312,1205,1205,399
5/31/2012,1205,1228,1113,1200,5417
6/3/2012,1200,1320,1210,1313,2718
6/4/2012,1313,1313,1265,1290,2280
