Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NBL,1/10/2022,395,395,379,385,-0.9,133890
NBL,1/11/2022,377.3,390,377.3,388,0.78,102075
NBL,1/12/2022,380.3,390.1,379,379.2,-2.27,86256
NBL,1/13/2022,372.1,383,372.1,381,0.47,58945
NBL,1/16/2022,381,392,383,392,2.89,116769
NBL,1/17/2022,399.8,401.4,386.2,393,0.26,101121
NBL,1/18/2022,395,402,387,391,-0.51,176346
NBL,1/19/2022,390,397,383,388,-0.77,102036
NBL,1/20/2022,383,391,382,389,0.26,241897
NBL,1/23/2022,396,400,385,386.1,-0.75,185650
NBL,1/24/2022,390,390,371,373,-3.39,154602
NBL,1/25/2022,365.6,376,357.7,370,-0.8,255756
NBL,1/26/2022,370.1,373,362.1,364.5,-1.49,122146
NBL,1/27/2022,365,371.7,362,363,-0.41,38904
NBL,1/30/2022,366,379,366,376.1,3.61,92895
NBL,1/31/2022,383,383.6,371,373,-0.82,54439
NBL,2/1/2022,373,377.9,368,375,0.54,94788
NBL,2/3/2022,380,382.5,370,370.5,-1.2,114244
NBL,2/6/2022,377.9,377.9,363.5,366,-1.21,71088
NBL,2/7/2022,365,369.9,364,365,-0.27,101611
NBL,2/8/2022,372.3,373,361,362,0,97164
NBL,2/9/2022,362,364.5,358,361,-0.28,70502
NBL,2/10/2022,361,363,356,357,-1.11,52118
NBL,2/13/2022,355,355,343,346,-3.08,94758
NBL,2/14/2022,350,357,344,346,0,45987
NBL,2/15/2022,346,352.9,345.2,350,1.16,42393
NBL,2/16/2022,356,356,350,351.5,0.43,45340
NBL,2/17/2022,352,355,349,350,-0.43,35746
NBL,2/20/2022,345,350,336.2,343,-2,42187
NBL,2/21/2022,345,349.8,339,347.8,1.4,33554
NBL,2/22/2022,352.9,352.9,344.6,345.1,-0.78,91174
NBL,2/23/2022,344,350,344,345.8,0.2,41263
NBL,2/24/2022,345.8,349,337.2,339.9,-1.71,87319
NBL,2/27/2022,333.2,342,333.2,335.5,-1.29,54081
NBL,2/28/2022,342,342.2,332,333,-0.75,73577
NBL,3/2/2022,333,336,327.1,327.2,-1.74,217129
NBL,3/6/2022,333.5,335.9,328.2,329.8,0.79,59635
NBL,3/7/2022,331.9,339.8,331,336,1.88,293629
NBL,3/9/2022,340,340,332,337,0.3,40006
NBL,3/10/2022,337,346.5,333,345.5,2.52,231402
NBL,3/13/2022,352.3,355,348,355,2.75,188553
NBL,3/14/2022,356.9,356.9,349.3,351,-1.13,29615
NBL,3/15/2022,350.1,353,344,348,-0.85,109177
NBL,3/16/2022,348,350,341,342,-1.72,49372
NBL,3/20/2022,343,345,337.1,340,-0.58,175968
NBL,3/21/2022,345,346.8,338,345.5,1.62,174932
NBL,3/22/2022,345,350,344,345,-0.14,51851
NBL,3/23/2022,345,349,339,340,-1.45,80637
NBL,3/24/2022,335,345,335,337,-0.88,51236
NBL,3/27/2022,339,340,332.2,333,-1.19,62037
NBL,3/28/2022,333,335,328.5,328.5,-1.35,88221
NBL,3/29/2022,335,335,325,325.9,-0.79,66976
NBL,3/30/2022,326,330,325,329,0.95,57174
NBL,3/31/2022,330,334.8,324,325,-1.22,118011
NBL,4/3/2022,326,326,322,324,-0.31,41368
NBL,4/4/2022,329.9,329.9,322.1,322.9,-0.34,50429
NBL,4/5/2022,322,326,317,319,-1.21,93019
NBL,4/6/2022,319,322.9,315.2,316,-0.94,114218
NBL,4/7/2022,320,326.4,316,325,2.85,80818
NBL,4/11/2022,326,333,321,321,-1.23,47864
NBL,4/12/2022,321.5,321.5,313.2,318,-0.93,95956
NBL,4/13/2022,320,325,312,325,2.2,55113
NBL,4/17/2022,331,331,318,318.7,-1.94,87986
NBL,4/18/2022,317,319.9,317,318,-0.22,34392
NBL,4/19/2022,318.1,321,315,320,0.63,26799
NBL,4/20/2022,326,326,313.6,317.4,-0.81,31792
NBL,4/21/2022,320,320,310,315,-0.76,61413
NBL,4/24/2022,315.3,325,315.3,323.1,2.57,61924
NBL,4/25/2022,326.1,327.3,316.1,319,-1.27,72698
NBL,4/26/2022,319,321.9,316.6,317,-0.63,19984
NBL,4/27/2022,317,320,315.3,318,0.32,50618
NBL,4/28/2022,322,322,315,315.5,-0.79,53053
NBL,5/2/2022,315,318,312,313,-0.79,45743
NBL,5/4/2022,313,316,309.2,309.6,-1.09,52931
NBL,5/5/2022,309.6,312,300,303.1,-2.1,125361
NBL,5/8/2022,303,307,296.2,306,0.96,76740
NBL,5/9/2022,302,311,302,306,0,41687
NBL,5/10/2022,310.9,314,306,312.6,2.16,17327
NBL,5/11/2022,317,318,311.1,317.6,1.6,50744
NBL,5/12/2022,320,323,315,319,0.44,44934
NBL,5/17/2022,313,315,305,308,-3.45,45322
NBL,5/18/2022,303.1,309,303.1,308.5,0,20566
NBL,5/19/2022,314.5,314.5,305.3,308,-0.16,21869
NBL,5/20/2022,302,310,302,307,-0.32,15290
NBL,5/23/2022,307,307,299.8,300,-2.28,70418
NBL,5/24/2022,300,305,300,301,0.33,24649
NBL,5/25/2022,307,307,300,303,0.66,32127
NBL,5/26/2022,305.2,310,303.6,306,0.99,35399
NBL,5/27/2022,311,313,304,306,0,22700
NBL,5/30/2022,303,307,297,300,-1.96,51590
NBL,5/31/2022,296.1,300.2,296.1,298,-0.67,45100
NBL,6/1/2022,303,303,294.7,299,0.34,30125
NBL,6/2/2022,296,302.9,296,298,-0.33,33731
NBL,6/3/2022,298,299,292,294,-1.34,48065
NBL,6/6/2022,298,301,290,294.8,0.27,35938
NBL,6/7/2022,292.1,299,286.2,287.6,-2.44,51706
NBL,6/8/2022,287.6,297,284,293,1.88,38863
NBL,6/9/2022,290,300,290,291,-0.68,39566
NBL,6/10/2022,290.1,292,289.7,290.1,-0.31,19263
NBL,6/13/2022,295,295,287,287,-1.07,35984
NBL,6/14/2022,286,291,283.5,285.6,-0.49,51556
NBL,6/15/2022,284,285,280,280.1,-1.93,62140
NBL,6/16/2022,285.7,288,279,284,1.39,44007
NBL,6/17/2022,288,288,279.9,280,-1.41,29640
NBL,6/19/2022,283,283,277.5,278.9,-0.39,38058
NBL,6/20/2022,275.1,279.9,270,271,-2.83,132897
NBL,6/21/2022,270,279,270,277,2.21,93299
NBL,6/22/2022,280.8,280.9,273,274,-1.08,97334
NBL,6/23/2022,270,273,266,268.9,-1.86,103270
NBL,6/24/2022,270,272.3,265.5,269,0.04,23536
NBL,6/26/2022,274,279.8,269,277,2.97,148895
NBL,6/27/2022,282.5,283,271.3,273,-1.44,79301
NBL,6/28/2022,270,276,269.1,273.7,0.26,77496
NBL,6/29/2022,273.9,279.2,269,279,1.94,46304
NBL,6/30/2022,282,294.8,279,293,5.02,110939
NBL,7/1/2022,296,296,286,290,-1.02,58511
NBL,7/3/2022,290,292,287,291,0.34,59961
NBL,7/4/2022,296.8,302,289.1,290,-0.34,165844
NBL,7/5/2022,290,295,285.2,289,-0.34,82508
NBL,7/6/2022,284,288,282,286.2,-0.97,51561
NBL,7/7/2022,291.5,292,284,287.8,0.56,162340
NBL,7/8/2022,283,288.6,282,282.1,-1.98,33421
NBL,7/11/2022,280,280,269,270.1,-4.25,117431
NBL,7/12/2022,270,279,267,279,3.3,144350
NBL,7/13/2022,280.1,290,270,289,3.58,275473
NBL,7/14/2022,294.4,294.4,282,290,0.35,88906
NBL,7/15/2022,295.5,298,286,298,2.76,116827
NBL,7/17/2022,293,298,290,296.8,-0.4,76549
NBL,7/18/2022,296.8,296.8,290,295.5,-0.44,51499
NBL,7/19/2022,290.1,301.4,290.1,298,0.85,84289
NBL,7/20/2022,302,302,295,295,-1.01,39232
NBL,7/21/2022,295,300,293.5,296,0.34,53939
NBL,7/22/2022,292.3,296,291.6,292,-1.35,23093
NBL,7/24/2022,295,299.9,292,298.8,2.33,46564
NBL,7/25/2022,303,310,300,309,3.41,111866
NBL,7/26/2022,310,310,298.2,300,-2.91,62892
NBL,7/27/2022,297,301,294.2,296.5,-1.17,50980
NBL,7/28/2022,297.1,302,295.2,295.5,-0.34,63932
NBL,7/29/2022,296,296,293,294,-0.51,50584
NBL,7/31/2022,299,307.8,293.1,307,4.42,134627
NBL,8/1/2022,313,317.5,306,313.9,2.25,140634
NBL,8/2/2022,310,316.2,307,312,-0.61,65851
NBL,8/3/2022,308,316,308,308,-1.28,103263
NBL,8/4/2022,307,308,296,299,-2.92,107676
NBL,8/5/2022,304.9,304.9,293.1,295.8,-1.07,58128
NBL,8/7/2022,293,298,291,292,-1.28,56812
NBL,8/8/2022,286.2,297,286.2,292,0,48779
NBL,8/9/2022,292,294,288.3,288.3,-1.27,39968
NBL,8/10/2022,288.1,293.8,282,286.3,-0.69,71838
NBL,8/11/2022,292,292,285,286.5,0.07,24352
NBL,8/14/2022,290,290,282,283.5,-1.05,45214
NBL,8/15/2022,278,289.1,278,289,1.94,37036
NBL,8/16/2022,290,295,285.5,286,-1.04,29854
NBL,8/17/2022,283.29,290,283.29,286,0,26409
NBL,8/18/2022,285,290,285,288.6,0.91,34582
NBL,8/21/2022,289,293,287,288,-0.21,35031
NBL,8/22/2022,290,290,285.3,287.1,-0.31,17736
NBL,8/23/2022,282,290,282,287.1,0,41351
NBL,8/24/2022,282,292,282,287.5,0.14,28445
NBL,8/25/2022,282,291,282,287.5,0,37275
NBL,8/26/2022,284,289.6,283,283.1,-1.53,12726
NBL,8/28/2022,280,286,280,281.5,-0.57,28659
NBL,8/29/2022,276,283.5,276,280.5,-0.36,23000
NBL,8/30/2022,285,285,279,282,0.53,51889
NBL,8/31/2022,277,286,277,280,-0.71,25196
NBL,9/1/2022,280,283,277.5,279,-0.36,21237
NBL,9/2/2022,274,283,274,278.5,-0.18,14790
NBL,9/4/2022,276,281.4,276,277,-0.54,30817
NBL,9/5/2022,278,282.5,277.6,277.8,0.29,16478
NBL,9/6/2022,280,280,276,276.3,-0.54,15469
NBL,9/7/2022,271,277.4,271,275,-0.47,17964
NBL,9/8/2022,270,276,270,273.5,-0.55,31386
NBL,9/11/2022,269,276,269,271,-0.91,41777
NBL,9/12/2022,270,271,268,270,-0.37,26170
NBL,9/13/2022,265,275,265,272,0.74,27618
NBL,9/14/2022,274,279,273,279,2.57,27683
NBL,9/15/2022,279,280,270.5,270.5,-3.05,23462
NBL,9/16/2022,267,270.3,263,270,-0.18,36954
NBL,9/18/2022,265,270.9,265,266.4,-1.33,31368
NBL,9/20/2022,266.4,269,264,264.1,-0.86,47921
NBL,9/21/2022,268.9,268.9,265,268,1.48,16089
NBL,9/22/2022,268,270,265,267,-0.37,26496
NBL,9/25/2022,272,272,263,265.1,-0.71,37923
NBL,9/27/2022,269,269.6,265.5,269,1.47,20955
NBL,9/28/2022,274,274,270.1,272,1.12,10963
NBL,9/29/2022,274,275.5,272,275,1.1,14943
NBL,10/9/2022,275,278,273.1,277,0.73,39942
NBL,10/10/2022,281,281,273.5,273.5,-1.26,25333
NBL,10/11/2022,275,275,269,271,-0.91,27905
NBL,10/12/2022,276.4,276.4,268,270,-0.37,34971
NBL,10/13/2022,275,275.4,269,271,-0.1,29140
NBL,10/16/2022,272,272,270,272,0.37,16408
NBL,10/17/2022,272,277,270,273,0.37,18365
NBL,10/19/2022,275,275,269.7,271,-0.73,24391
NBL,10/20/2022,272,275,270,274,1.11,12346
NBL,10/23/2022,268.6,275,267,274,0,118792
NBL,10/31/2022,274,276.4,268.1,274,0,36886
NBL,11/1/2022,279,282,271.2,281,2.55,30087
NBL,11/2/2022,286,286,278.1,278.2,-1,39298
NBL,11/3/2022,278,279.9,275.5,275.5,-0.97,25552
NBL,11/6/2022,275.5,279,270,278.3,1.02,31350
NBL,11/7/2022,273,282.5,273,278,-0.11,36885
NBL,11/8/2022,281.5,281.5,275,277,-0.36,14206
NBL,11/9/2022,282,282,273,274.9,-0.76,20214
NBL,11/10/2022,280,280,271.6,272,-1.05,25067
NBL,11/13/2022,270,275,270,271.5,-0.18,24377
NBL,11/14/2022,275,275,269.5,273,0.55,23104
NBL,11/15/2022,274,274,271.8,273,0,8201
NBL,11/16/2022,272,276,272,275,0.73,23780
NBL,11/17/2022,280,281.6,275,280,1.82,27646
NBL,11/22/2022,285,290,278,283,1.07,430031
NBL,11/23/2022,285,286,280,286,1.06,449551
NBL,11/24/2022,288,289,284.5,287,0.35,19313
NBL,11/27/2022,287,289,281.5,284.7,-0.8,26457
NBL,11/28/2022,288.9,288.9,282.6,283.1,-0.56,24213
NBL,11/29/2022,288,288,280.5,283,-0.04,40315
NBL,11/30/2022,282,285,280.5,280.9,-0.74,15012
NBL,12/1/2022,285,285,278.2,283.4,0.89,27071
NBL,12/4/2022,283,287,280,282,-0.49,24174
NBL,12/5/2022,286,286,278,280,-0.71,23499
NBL,12/6/2022,280,280,274.4,278,-0.71,12873
NBL,12/7/2022,278,280,275.5,275.5,-0.9,29175
NBL,12/11/2022,276.1,278,273.2,274,-0.54,32587
NBL,12/12/2022,274,277,273,277,1.09,15664
NBL,12/13/2022,277,277,274,276.4,-0.22,128136
NBL,12/14/2022,274,277,274,276,-0.14,11493
NBL,12/15/2022,277,278,275,277,0.36,19693
NBL,12/18/2022,271.5,271.5,259.1,263.6,-4.84,115056
NBL,12/19/2022,267,267,262.3,264,0.15,31488
NBL,12/20/2022,266,268,264.1,265,0.38,27742
NBL,12/21/2022,266,270,266,266.5,0.57,23435
NBL,12/22/2022,271.8,271.8,265,269.8,1.24,41644
NBL,12/26/2022,271,278,270,277.9,3,55877
NBL,12/27/2022,277.9,290,277.9,287.1,3.31,73968
NBL,12/28/2022,285.5,288.6,281.4,286.5,-0.21,112881
NBL,12/29/2022,275.3,280,270.1,280,-0.31,92934
NBL,1/1/2023,281,284,275,279,-0.36,72930
NBL,1/2/2023,281.9,281.9,273.6,277.9,-0.39,56863
NBL,1/3/2023,276,277,274.1,274.9,-1.08,38050
NBL,1/4/2023,275,278.9,273,277,0.76,55521
NBL,1/5/2023,281,281,274,277.3,0.11,87289
NBL,1/8/2023,277,282,277,279.5,0.79,106809
NBL,1/9/2023,277,295,277,295,5.55,144622
NBL,1/10/2023,290,305.5,290,296,0.34,450504
NBL,1/12/2023,301.9,307,288,293,-1.01,157567
NBL,1/17/2023,294,294,285,285,-2.73,84845
NBL,1/18/2023,289,291,283,284,-0.35,93016
NBL,1/19/2023,284,288,281,282.1,-0.67,59141
NBL,1/23/2023,282,287,278,279,-1.1,80156
NBL,1/24/2023,275.1,281,272,272,-2.51,92618
NBL,1/25/2023,277,282.3,273.2,276,1.47,49022
NBL,1/26/2023,280,280,274,275.3,-0.25,25935
NBL,1/29/2023,275.3,279.9,273.1,274,-0.47,42044
NBL,1/30/2023,270.6,275,269.5,269.6,-1.61,46217
NBL,1/31/2023,270,270,264.5,267.4,-0.82,72386
NBL,2/1/2023,266,271,265,269,0.6,222055
NBL,2/2/2023,270,273,267.5,268,-0.37,41477
NBL,2/5/2023,273.3,273.3,267.9,271,1.12,97996
NBL,2/6/2023,268.3,274,268.3,273,0.74,52025
NBL,2/7/2023,277,287.9,272,283.5,3.85,66378
NBL,2/8/2023,286,295,285,290,2.29,185312
NBL,2/9/2023,294.9,294.9,284,289.8,-0.07,67882
NBL,2/12/2023,285,286,277,279,-3.73,66278
NBL,2/14/2023,279,280,274,274.7,-1.54,61876
NBL,2/15/2023,274,276,270.1,272,-0.98,38601
NBL,2/15/2023,274,276,270.1,272,-0.98,38601
NBL,2/16/2023,276.9,276.9,268,268.1,-1.43,58829
NBL,2/20/2023,268,271.5,266.6,267.5,-0.22,49510
NBL,2/22/2023,272,273.4,267,271.9,1.64,48226
NBL,2/23/2023,273,273,266.7,269.9,-0.74,80562
NBL,2/26/2023,266.5,270.3,264.5,269,-0.33,59277
NBL,2/27/2023,270.1,273.9,265,268,-0.37,34192
