Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NICA,1/10/2022,870,879,852,860,-0.82,160045
NICA,1/11/2022,870,872,855,864.5,0.52,83864
NICA,1/12/2022,870,889.5,863,866,0.17,170915
NICA,1/13/2022,868,890,861,880.5,1.67,94487
NICA,1/16/2022,880.5,912,882,900,2.21,137916
NICA,1/17/2022,918,918,893,898,-0.22,111345
NICA,1/18/2022,900,927,899,914,1.78,207182
NICA,1/19/2022,932.2,932.2,910,912,-0.22,145505
NICA,1/20/2022,912,920,901.6,917,0.55,116652
NICA,1/23/2022,935,935.3,899,903,-1.53,191997
NICA,1/24/2022,900,900,866,866.2,-4.08,419335
NICA,1/25/2022,850,883,845.2,867,0.09,227148
NICA,1/26/2022,868,873,856,860,-0.81,109049
NICA,1/27/2022,861,869.9,856,859.6,-0.05,56260
NICA,1/30/2022,876.7,888,872,883,2.72,99204
NICA,1/31/2022,890,890,870.1,872,-1.25,65157
NICA,2/1/2022,875,883,865,870,-0.23,58118
NICA,2/3/2022,870,877,860,860.4,-1.1,150826
NICA,2/6/2022,856,860,845,853,-0.86,72123
NICA,2/7/2022,853,858,839,843,-1.17,59770
NICA,2/8/2022,855,872,826,837,0,86778
NICA,2/9/2022,840,840,821,828,-1.08,87317
NICA,2/10/2022,830,839,814,818,-1.21,95660
NICA,2/13/2022,802,811,789,807,-1.34,180844
NICA,2/14/2022,811,814,798,805,-0.25,65371
NICA,2/15/2022,805,810,802,805,0,45673
NICA,2/16/2022,806,815,803,807,0.25,43171
NICA,2/17/2022,805,816,804,816,1.12,55936
NICA,2/20/2022,799.7,812,790,803.1,-1.58,58816
NICA,2/21/2022,808,810,798,806.1,0.37,30102
NICA,2/22/2022,806,815,802,808,0.24,37501
NICA,2/23/2022,810,810,801,804,-0.5,26347
NICA,2/24/2022,804,804,785,790,-1.74,62153
NICA,2/27/2022,790,800,777.7,783,-0.89,94586
NICA,2/28/2022,798,798,771,773,-1.28,55256
NICA,3/2/2022,770,775,760,762,-1.42,76482
NICA,3/6/2022,777.2,785,755,768,0.79,36346
NICA,3/7/2022,770,774.9,747,774,0.78,138577
NICA,3/9/2022,785,785,750,760,-1.81,138776
NICA,3/10/2022,760,762,747,758,-0.26,165638
NICA,3/13/2022,769,790,758,782,3.17,93422
NICA,3/14/2022,785,789,770,778,-0.51,29363
NICA,3/15/2022,780,781,770,772,-0.77,50282
NICA,3/16/2022,772,778,765,768,-0.52,46676
NICA,3/20/2022,776,776,764,770,0.26,42001
NICA,3/21/2022,775,780,762,773,0.39,47286
NICA,3/22/2022,770,785,770,779.9,0.89,41446
NICA,3/23/2022,780,785,773,785,0.65,108697
NICA,3/24/2022,780,790,769.3,780,-0.64,67523
NICA,3/27/2022,780,790,766,766,-1.79,67429
NICA,3/28/2022,761,765,755,759.9,-0.8,37146
NICA,3/29/2022,756,765,754,757,-0.38,40516
NICA,3/30/2022,758,770,757,767,1.32,29760
NICA,3/31/2022,772,772,755,764,-0.39,39695
NICA,4/3/2022,770,778,756.2,761.9,-0.27,18189
