Symbol,Date,Open,High,Low,Close,Percent Change,Volume
PRVU,1/10/2022,343,350,332,336.5,-0.15,136075
PRVU,1/11/2022,337,340,332,338,0.45,74992
PRVU,1/12/2022,340,343,328,332,-1.78,94046
PRVU,1/13/2022,332,336.6,327,335,0.9,80445
PRVU,1/16/2022,335,344,334,340,1.49,148315
PRVU,1/17/2022,345.9,353,337.5,342,0.59,125583
PRVU,1/18/2022,348,366,344.1,361,5.56,423443
PRVU,1/19/2022,368.2,377,358,366,1.39,256420
PRVU,1/20/2022,370,370,361,365,-0.27,86907
PRVU,1/23/2022,367,367,348,350,-4.11,287949
PRVU,1/24/2022,350,350,334,335.1,-4.26,175680
PRVU,1/25/2022,341.8,341.8,330,331.5,-1.07,91851
PRVU,1/26/2022,330,334,325,327,-1.36,74648
PRVU,1/27/2022,330.9,333.5,325.2,327,0,57733
PRVU,1/30/2022,333.5,344,332.6,338,3.36,83176
PRVU,1/31/2022,340,341,331.2,332,-1.78,72801
PRVU,2/1/2022,327.1,334,326,334,0.6,103728
PRVU,2/3/2022,336,339.9,331.5,333,-0.3,96481
PRVU,2/6/2022,331.9,333,327,328,-1.5,46551
PRVU,2/7/2022,327,328,324,325,-0.91,126569
PRVU,2/8/2022,331.5,339,323.4,325,0,101311
PRVU,2/9/2022,324.5,326,319.2,319.2,-1.78,95046
PRVU,2/10/2022,317,323,315,315.1,-1.28,88446
PRVU,2/13/2022,310,312,304,308.5,-2.09,122861
PRVU,2/14/2022,307,313,307,308,-0.16,74121
PRVU,2/15/2022,312,315,307,315,2.27,83609
PRVU,2/16/2022,315,317,308,308,-2.22,78923
PRVU,2/17/2022,310,314,309,310,0.65,39663
PRVU,2/20/2022,309,309.9,302.9,304,-1.94,79934
PRVU,2/21/2022,305,313,304,309,1.64,78811
PRVU,2/22/2022,311,315.1,311,313.4,1.42,83855
PRVU,2/23/2022,313.4,315,308.1,308.9,-1.44,55582
PRVU,2/24/2022,308,309.9,300,302,-2.23,118903
PRVU,2/27/2022,302,308,300,300.5,-0.5,89642
PRVU,2/28/2022,303,308,298.2,299.3,-0.4,89597
PRVU,3/2/2022,300,301,291,293,-2.1,116445
PRVU,3/6/2022,294,299,292,293,0,86424
PRVU,3/7/2022,295,297,288,294,0.34,118944
PRVU,3/9/2022,295,297,289.1,291.8,-0.75,46099
PRVU,3/10/2022,294,295,289,294.9,1.06,89745
PRVU,3/13/2022,297,311,296.1,308,4.44,131041
PRVU,3/14/2022,309,311,305,308,0,28122
PRVU,3/15/2022,308,308,300.9,305.9,-0.68,95721
PRVU,3/16/2022,304,308,301,304,-0.62,60116
PRVU,3/20/2022,304,305,298,302,-0.66,49036
PRVU,3/21/2022,303,304,298.4,303.5,0.5,33078
PRVU,3/22/2022,303.5,309,303.5,305.2,0.56,46422
PRVU,3/23/2022,305,307,299.5,300,-1.7,105526
PRVU,3/24/2022,300,303,295,299.9,-0.03,57856
PRVU,3/27/2022,299.9,300,294,298,-0.63,80222
PRVU,3/28/2022,298,298,292.2,293,-1.68,32685
PRVU,3/29/2022,295,295,290.1,290.2,-0.96,35687
PRVU,3/30/2022,294,294,289.1,293.8,1.24,46594
PRVU,3/31/2022,294,296,290,291,-0.95,67594
PRVU,4/3/2022,286.1,291.8,286.1,288,-1.03,25747
PRVU,4/4/2022,293.7,293.7,284,284.5,-1.22,62098
PRVU,4/5/2022,290.1,290.1,280,281.9,-0.91,57682
PRVU,4/6/2022,281,285,275,276.9,-1.77,53469
PRVU,4/7/2022,280,282,275,280,1.12,62361
PRVU,4/11/2022,282,291.3,276,277,-1.07,52131
PRVU,4/12/2022,277,279,275,276,-0.36,34450
PRVU,4/13/2022,280,280,274,278,0.72,75418
PRVU,4/17/2022,283.5,288,276,279,0.36,37849
