Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SBL,1/10/2022,468,469,455,457,-1.51,91946
SBL,1/11/2022,456,466,455,464.7,1.68,90968
SBL,1/12/2022,457.1,465,450,453,-2.52,75811
SBL,1/13/2022,455,460,449,459,1.32,70869
SBL,1/16/2022,459,470,458,470,2.4,180707
SBL,1/17/2022,473,480,463,470,0,145739
SBL,1/18/2022,466.5,485.5,465,475,1.06,180428
SBL,1/19/2022,484,484,465,470,-1.05,91842
SBL,1/20/2022,470,471,463,467.5,-0.53,62906
SBL,1/23/2022,467.8,486.3,466,472,0.96,140926
SBL,1/24/2022,481.4,481.4,451,458,-2.97,170021
SBL,1/25/2022,467.1,467.1,446,454,-0.87,94791
SBL,1/26/2022,460,460,445,445.8,-1.81,70434
SBL,1/27/2022,447.5,451,441,443,-0.63,47091
SBL,1/30/2022,451.8,463,450,460,3.84,59776
SBL,1/31/2022,464,465,452,452.6,-1.61,32745
SBL,2/1/2022,450.5,458,446,456,0.75,54695
SBL,2/3/2022,456,465,450.1,455,-0.22,64627
SBL,2/6/2022,456.1,456.1,448.2,448.4,-1.45,37059
SBL,2/7/2022,446,453,445,446.1,-0.51,29428
SBL,2/8/2022,455,463,441.5,444,0,52555
SBL,2/9/2022,448,448,438,438.9,-1.15,33765
SBL,2/10/2022,439.5,443,431.1,433,-1.34,50151
SBL,2/13/2022,431,431,420,423,-2.31,307377
SBL,2/14/2022,423,427,420,424,0.24,43169
SBL,2/15/2022,432,432,420,430,1.42,56255
SBL,2/16/2022,430,431.5,422.4,425.9,-0.95,28139
SBL,2/17/2022,434,434,423.5,427,0.26,21757
SBL,2/20/2022,421.1,424,416,419,-1.87,46557
SBL,2/21/2022,419,425,416,423.9,1.17,65224
SBL,2/22/2022,425,428,423.2,427.3,0.8,47200
SBL,2/23/2022,425,429,421,424,-0.77,33703
SBL,2/24/2022,424,424,414,415.5,-2,34467
SBL,2/27/2022,417,417,410.1,411.5,-0.96,52154
SBL,2/28/2022,404,420,404,408,-0.85,64396
SBL,3/2/2022,400,408,397,400,-1.96,69730
SBL,3/6/2022,392,407,392,400.6,0.15,62111
SBL,3/7/2022,392.6,405,392.6,400,-0.15,56020
SBL,3/9/2022,401,404,395,395,-1.25,33024
SBL,3/10/2022,396,400,394,400,1.27,39386
SBL,3/13/2022,408,415,402,410,2.5,88147
SBL,3/14/2022,418,418,406.3,412,0.49,23030
SBL,3/15/2022,415,415,406.8,408,-0.97,48889
SBL,3/16/2022,412,415.8,403,404,-0.98,68113
SBL,3/20/2022,410,410,403,406.7,0.67,36732
SBL,3/21/2022,414.8,414.8,403,408,0.32,39469
SBL,3/22/2022,410,413,406.8,409,0.25,39578
SBL,3/23/2022,405.1,410,403,405.5,-0.86,38618
SBL,3/24/2022,409.9,409.9,402.1,402.2,-0.81,53080
SBL,3/27/2022,402,406.5,397,398,-1.04,88284
