Symbol,Date,Open,High,Low,Close,Percent Change,Volume
SCB,1/10/2022,510,530.4,510,520,0,32327
SCB,1/11/2022,510,520,507,515,-0.96,10971
SCB,1/12/2022,520,520,505,505,-1.94,10647
SCB,1/13/2022,500,505,495,500,-0.99,14802
SCB,1/16/2022,500,550,500.1,550,10,44540
SCB,1/17/2022,561,561,530,534,-2.91,41753
SCB,1/18/2022,530,545,530,535.9,0.36,42876
SCB,1/19/2022,530,540.6,522,526,-1.85,19006
SCB,1/20/2022,529,529,516,525,-0.19,15295
SCB,1/23/2022,526,534,516.1,522,-0.57,24106
SCB,1/24/2022,522,523,501.6,510,-2.3,31246
SCB,1/25/2022,520.2,520.2,505,514.2,0.82,11527
SCB,1/26/2022,504,520,500.1,506,-1.59,13455
SCB,1/27/2022,496,520,495,501,-0.99,23094
SCB,1/30/2022,510,525,500,517.9,3.37,21665
SCB,1/31/2022,525,525,507,507,-2.1,9219
SCB,2/1/2022,502.1,512,500,506,-0.2,24303
SCB,2/3/2022,506,515,501,508.1,0.42,16760
SCB,2/6/2022,510,510,500,501,-1.4,25412
SCB,2/7/2022,500,508,500,506,1,6140
SCB,2/8/2022,516.1,520,500,501,0,12327
SCB,2/9/2022,504,505,493,495.1,-1.18,20092
SCB,2/10/2022,505,505,494.9,494.9,-0.04,13717
SCB,2/13/2022,485.1,488,475,480,-3.01,29854
SCB,2/14/2022,471,490,470,484,0.83,8173
SCB,2/15/2022,486,487,480,485,0.21,9519
SCB,2/16/2022,482,514,482,487,0.41,6975
SCB,2/17/2022,480,496,480,482.5,-0.92,14477
SCB,2/20/2022,473,482.8,464,476.2,-1.31,9988
SCB,2/21/2022,484,484,470,472.5,-0.78,14688
SCB,2/22/2022,481,485,475,476,0.74,12049
SCB,2/23/2022,476,482,475,479,0.63,18738
SCB,2/24/2022,479,479,468,470,-1.88,15830
SCB,2/27/2022,470,479,464.1,473,0.64,8985
SCB,2/28/2022,472,473.9,467,467,-1.27,13525
SCB,3/2/2022,464.2,464.2,455,460,-1.5,13631
SCB,3/6/2022,460,460,453.4,455,-1.09,10507
SCB,3/7/2022,464,464.1,456,456,0.22,8992
SCB,3/9/2022,459,459,450,452,-0.88,8075
SCB,3/10/2022,450,468,450,460,1.77,19155
SCB,3/13/2022,460,478.1,460,470,2.17,10779
SCB,3/14/2022,478,478,463.1,470.1,0.02,2525
SCB,3/15/2022,470,470,460.7,464,-1.3,5471
SCB,3/16/2022,460.1,470,460,463,-0.22,9332
SCB,3/20/2022,457,471,456.1,462,-0.22,4724
SCB,3/21/2022,465,465,455,459,-0.65,14937
SCB,3/22/2022,459,463,459,462,0.65,11263
SCB,3/23/2022,461.5,471,461.5,463,0.22,10233
SCB,3/24/2022,455,470,455,463,0,14040
SCB,3/27/2022,455,463,455,455.1,-1.71,12622
SCB,3/28/2022,458,458,450,450.2,-1.08,12475
SCB,3/29/2022,459,459,450,457,1.51,11977
SCB,3/30/2022,449,457,449,456.9,-0.02,6345
SCB,3/31/2022,465.9,466,450.6,452,-1.07,7396
SCB,4/3/2022,452,452,447.1,450,-0.44,5861
SCB,4/4/2022,459,459,446.1,448,-0.44,12225
SCB,4/5/2022,456.9,456.9,440.2,442.1,-1.32,6086
SCB,4/6/2022,440,450.9,436,438,-0.93,11599
SCB,4/7/2022,434.5,447,434.5,445,1.6,11197
SCB,4/11/2022,450,450,441.6,441.6,-0.76,13605
SCB,4/12/2022,440.1,442,435,438,-0.82,6359
SCB,4/13/2022,433.1,462.9,433.1,453.7,3.58,13351
SCB,4/17/2022,462.7,462.7,439.5,440,-3.02,7977
SCB,4/18/2022,440,448.8,436,437,-0.68,6545
SCB,4/19/2022,435,440.9,432,437,0,5507
SCB,4/20/2022,445.7,446.5,438,441,0.92,16005
SCB,4/21/2022,449.8,449.8,435,437.1,-0.88,10435
SCB,4/24/2022,445.8,451,443,450.1,2.97,11729
SCB,4/25/2022,454,456,442,442,-1.8,11976
SCB,4/26/2022,442,450,440,440,-0.45,4929
SCB,4/27/2022,437,441,436,438.5,-0.34,5895
SCB,4/28/2022,447.2,447.2,438.1,439,0.11,4135
SCB,5/2/2022,439,440,433.8,436,-0.68,13808
SCB,5/4/2022,430.1,436,430.1,434.5,-0.34,3455
SCB,5/5/2022,432,438,430.6,431,-0.81,6206
SCB,5/8/2022,429,432,422,432,0.23,11426
SCB,5/9/2022,440.6,440.6,431,434,0.46,7937
SCB,5/10/2022,433,441.6,433,441.6,1.75,5626
SCB,5/11/2022,440.1,444,440,444,0.54,2906
SCB,5/12/2022,449.9,449.9,438,440.9,-0.7,10173
SCB,5/17/2022,435,439,430,435,-1.34,6192
SCB,5/18/2022,429,435,429,432,-0.01,6071
SCB,5/19/2022,430.1,435,426,430,-0.46,5560
SCB,5/20/2022,425.7,435,425,428,-0.47,4264
SCB,5/23/2022,436.5,436.5,422,422.8,-1.21,9719
SCB,5/24/2022,431.2,431.2,423,428,1.23,10144
SCB,5/25/2022,436.5,436.5,422.2,432,0.93,9512
SCB,5/26/2022,440.6,440.6,421.5,436,0.93,15251
SCB,5/27/2022,436,436,428.2,430.7,-1.22,4456
SCB,5/30/2022,439.3,439.3,420,424.9,-1.35,6222
SCB,5/31/2022,424.5,424.5,418,420,-1.15,10350
SCB,6/1/2022,421,423,418,420,0,8761
SCB,6/2/2022,425.5,426,416.3,419.9,-0.02,3257
